,Student_ID,Class_Grade_ID,Discipline_ID,Is_School_Prefect,Age,Gender,Nationality,State_Of_Origin,Clubs_Interests,Aspiring_Profession,DOB,Religion,Has_Disability,Date_Of_Admission,Year_Of_Admission
27,28,1,1,No,14,Female,Nigeria,Imo,"['Mathematics Club', 'Drama Club', 'JETS Club']",Journalist,2010-10-04,Christian,Yes,2022-09-01,2022
28,29,1,1,No,14,Female,Nigeria,Osun,['Debating Club'],Fashion Designer,2012-10-04,Christian,Yes,2022-09-01,2022
29,30,1,3,No,13,Female,Nigeria,Osun,"['Music Club', 'Chess Club']",Pharmacist,2012-10-04,Islam,No,2022-09-01,2022
30,31,1,3,No,12,Female,Nigeria,Lagos,"['Chess Club', 'Press Club', 'Red Cross']",Pharmacist,2012-10-04,Christian,Yes,2022-09-01,2022
31,32,1,4,No,12,Female,Nigeria,Oyo,['Press Club'],Computer Scientist,2010-10-04,Islam,Yes,2022-09-01,2022
32,33,1,4,No,13,Female,Nigeria,Bayelsa,"['Red Cross', 'Debating Club']",Technologist,2010-10-04,Islam,No,2022-09-01,2022
33,34,1,4,Yes,12,Female,Nigeria,Lagos,['Press Club'],Technologist,2012-10-04,Christian,Yes,2022-09-01,2022
34,35,1,4,No,12,Female,Nigeria,Osun,"['Computer Club', 'Debating Club']",Technologist,2010-10-04,Islam,No,2022-09-01,2022
35,36,1,2,No,14,Male,Nigeria,Delta,"['Press Club', 'Homemakers Club']",Economist,2010-10-04,Christian,Yes,2022-09-01,2022
36,37,1,2,No,13,Female,Nigeria,Osun,['Drama Club'],Entrepreneur,2012-10-04,Islam,Yes,2022-09-01,2022
37,38,1,1,No,14,Male,Nigeria,Oyo,"['Press Club', 'Music Club']",Fashion Designer,2012-10-04,Islam,Yes,2022-09-01,2022
38,39,1,1,No,14,Male,Nigeria,Delta,['Drama Club'],Fashion Designer,2012-10-04,Christian,Yes,2022-09-01,2022
39,40,1,1,No,14,Female,Nigeria,Oyo,"['Drama Club', 'JETS Club', 'Fine Arts']",Fashion Designer,2010-10-04,Islam,Yes,2022-09-01,2022
40,41,1,2,Yes,14,Female,Nigeria,Osun,"['JETS Club', 'Mathematics Club', 'Music Club']",Business Executive,2011-10-04,Christian,Yes,2022-09-01,2022
41,42,1,2,No,14,Male,Nigeria,Kogi,"['Mathematics Club', 'Debating Club', 'JETS Club']",Economist,2012-10-04,Christian,No,2022-09-01,2022
42,43,1,3,No,12,Female,Nigeria,Adamawa,"['Mathematics Club', 'Homemakers Club', 'Debating Club']",Engineer,2010-10-04,Islam,No,2022-09-01,2022
43,44,1,3,No,12,Female,Nigeria,Benue,['Mathematics Club'],Pharmacist,2010-10-04,Christian,Yes,2022-09-01,2022
44,45,1,1,No,12,Male,Nigeria,Bayelsa,"['Computer Club', 'Chess Club', 'Debating Club']",Writer,2010-10-04,Islam,Yes,2022-09-01,2022
45,46,1,3,No,13,Female,Nigeria,Lagos,"['Fine Arts', 'Homemakers Club', 'Red Cross']",Doctor,2010-10-04,Islam,Yes,2022-09-01,2022
46,47,1,1,Yes,14,Male,Nigeria,Imo,"['Drama Club', 'Debating Club']",Journalist,2012-10-04,Christian,Yes,2022-09-01,2022
47,48,1,3,No,12,Male,Nigeria,Ebonyi,"['Drama Club', 'Mathematics Club']",Pharmacist,2010-10-04,Islam,No,2022-09-01,2022
48,49,1,2,No,12,Male,Nigeria,Lagos,"['Press Club', 'Mathematics Club']",Marketer,2011-10-04,Islam,Yes,2022-09-01,2022
49,50,1,2,No,13,Male,Nigeria,Ogun,"['Press Club', 'JETS Club']",Economist,2011-10-04,Christian,Yes,2022-09-01,2022
50,51,1,3,No,14,Female,Nigeria,Lagos,['Red Cross'],Engineer,2011-10-04,Christian,No,2022-09-01,2022
51,52,1,4,Yes,13,Male,Nigeria,Lagos,"['Homemakers Club', 'Drama Club', 'Mathematics Club']",Data Scientist,2012-10-04,Christian,No,2022-09-01,2022
52,53,1,3,No,14,Male,Nigeria,Oyo,"['JETS Club', 'Computer Club', 'Mathematics Club']",Biologist,2010-10-04,Christian,No,2022-09-01,2022
53,54,1,1,Yes,14,Male,Nigeria,Kogi,['Chess Club'],Journalist,2010-10-04,Christian,Yes,2022-09-01,2022
54,55,1,3,No,12,Female,Nigeria,Kano,['Computer Club'],Pharmacist,2010-10-04,Islam,Yes,2022-09-01,2022
55,56,1,3,Yes,14,Male,Nigeria,Ogun,"['Mathematics Club', 'Drama Club', 'Red Cross']",Engineer,2010-10-04,Islam,Yes,2022-09-01,2022
56,57,1,3,Yes,13,Female,Nigeria,Abia,"['Drama Club', 'JETS Club', 'Fine Arts']",Pharmacist,2012-10-04,Christian,Yes,2022-09-01,2022
57,58,1,4,Yes,14,Female,Nigeria,Oyo,"['JETS Club', 'Homemakers Club', 'Music Club']",Technologist,2012-10-04,Christian,Yes,2022-09-01,2022
58,59,1,2,Yes,14,Female,Nigeria,Osun,"['JETS Club', 'Fine Arts', 'Mathematics Club']",Marketer,2012-10-04,Islam,Yes,2022-09-01,2022
59,60,1,4,No,12,Female,Nigeria,Osun,"['Fine Arts', 'Homemakers Club', 'Music Club']",Data Scientist,2011-10-04,Islam,No,2022-09-01,2022
60,61,1,2,No,12,Female,Nigeria,Osun,['Drama Club'],Economist,2010-10-04,Islam,No,2022-09-01,2022
61,62,1,4,Yes,14,Female,Nigeria,Oyo,"['Press Club', 'Mathematics Club']",Computer Scientist,2012-10-04,Christian,No,2022-09-01,2022
62,63,1,4,No,13,Male,Nigeria,Anambra,"['Homemakers Club', 'Red Cross']",Computer Scientist,2010-10-04,Islam,No,2022-09-01,2022
63,64,1,4,Yes,12,Female,Nigeria,Osun,"['Chess Club', 'Debating Club']",Technologist,2011-10-04,Christian,Yes,2022-09-01,2022
64,65,1,2,No,14,Female,Nigeria,Gombe,"['Red Cross', 'Drama Club', 'Mathematics Club']",Business Executive,2012-10-04,Islam,Yes,2022-09-01,2022
65,66,1,3,No,14,Male,Nigeria,Lagos,"['Fine Arts', 'JETS Club']",Biologist,2012-10-04,Christian,No,2022-09-01,2022
66,67,1,3,No,13,Female,Nigeria,Sokoto,"['Press Club', 'Debating Club', 'Fine Arts']",Pharmacist,2012-10-04,Islam,No,2022-09-01,2022
67,68,1,1,No,12,Male,Nigeria,Enugu,['Press Club'],Writer,2012-10-04,Islam,No,2022-09-01,2022
68,69,1,2,Yes,12,Male,Nigeria,Bauchi,"['Fine Arts', 'Music Club']",Economist,2010-10-04,Christian,No,2022-09-01,2022
69,70,1,3,Yes,14,Female,Nigeria,Ondo,['Music Club'],Engineer,2011-10-04,Islam,No,2022-09-01,2022
70,71,1,2,No,12,Female,Nigeria,Osun,"['Computer Club', 'Fine Arts']",Accountant,2012-10-04,Islam,Yes,2022-09-01,2022
71,72,1,4,Yes,12,Male,Nigeria,Lagos,"['Computer Club', 'Mathematics Club', 'Red Cross']",Data Scientist,2011-10-04,Christian,Yes,2022-09-01,2022
72,73,1,2,No,12,Male,Nigeria,Lagos,"['Debating Club', 'Mathematics Club']",Entrepreneur,2011-10-04,Islam,Yes,2022-09-01,2022
73,74,1,4,Yes,13,Female,Nigeria,Bauchi,"['Drama Club', 'Fine Arts']",Technologist,2010-10-04,Islam,Yes,2022-09-01,2022
74,75,1,2,No,12,Female,Nigeria,Kaduna,"['Fine Arts', 'Debating Club']",Economist,2012-10-04,Christian,Yes,2022-09-01,2022
75,76,1,3,No,13,Male,Nigeria,Osun,"['Computer Club', 'JETS Club', 'Mathematics Club']",Doctor,2011-10-04,Islam,Yes,2022-09-01,2022
76,77,1,2,No,13,Female,Nigeria,Imo,"['Drama Club', 'JETS Club']",Business Executive,2010-10-04,Islam,Yes,2022-09-01,2022
77,78,1,3,Yes,13,Female,Nigeria,Ogun,"['Mathematics Club', 'Computer Club']",Engineer,2011-10-04,Islam,Yes,2022-09-01,2022
78,79,1,4,No,12,Male,Nigeria,Oyo,"['Press Club', 'Music Club']",Software Developer,2010-10-04,Islam,Yes,2022-09-01,2022
79,80,1,2,Yes,12,Male,Nigeria,Lagos,"['JETS Club', 'Mathematics Club']",Marketer,2012-10-04,Christian,No,2022-09-01,2022
80,81,1,2,No,12,Male,Nigeria,Lagos,"['JETS Club', 'Press Club', 'Homemakers Club']",Entrepreneur,2012-10-04,Christian,Yes,2022-09-01,2022
81,82,1,3,Yes,14,Female,Nigeria,Ogun,"['Press Club', 'Fine Arts', 'Red Cross']",Scientist,2010-10-04,Christian,Yes,2022-09-01,2022
82,83,1,2,No,12,Male,Nigeria,Ekiti,"['Computer Club', 'Drama Club', 'Mathematics Club']",Economist,2010-10-04,Islam,No,2022-09-01,2022
83,84,1,4,Yes,12,Female,Nigeria,Osun,"['Homemakers Club', 'Mathematics Club', 'Chess Club']",Engineer,2011-10-04,Christian,No,2022-09-01,2022
84,85,1,2,No,14,Male,Nigeria,Ogun,"['Red Cross', 'JETS Club']",Marketer,2012-10-04,Islam,Yes,2022-09-01,2022
85,86,1,3,No,14,Female,Nigeria,Niger,['Chess Club'],Doctor,2010-10-04,Christian,No,2022-09-01,2022
86,87,1,4,Yes,12,Male,Nigeria,Kwara,"['Drama Club', 'Red Cross', 'Homemakers Club']",Technologist,2011-10-04,Christian,Yes,2022-09-01,2022
87,88,1,1,Yes,12,Female,Nigeria,Cross River,"['Red Cross', 'Fine Arts', 'Mathematics Club']",Fashion Designer,2010-10-04,Islam,No,2022-09-01,2022
88,89,1,2,No,13,Female,Nigeria,Adamawa,"['Press Club', 'Homemakers Club']",Entrepreneur,2010-10-04,Islam,Yes,2022-09-01,2022
89,90,1,3,No,13,Female,Nigeria,Ogun,"['Fine Arts', 'Chess Club']",Engineer,2012-10-04,Christian,Yes,2022-09-01,2022
90,91,1,1,Yes,12,Male,Nigeria,FCT - Abuja,['JETS Club'],Writer,2012-10-04,Islam,No,2022-09-01,2022
91,92,1,3,No,13,Male,Nigeria,Ogun,"['Fine Arts', 'Homemakers Club', 'Music Club']",Doctor,2011-10-04,Islam,Yes,2022-09-01,2022
92,93,1,2,Yes,13,Female,Nigeria,Kogi,"['Debating Club', 'Press Club']",Marketer,2011-10-04,Christian,No,2022-09-01,2022
93,94,1,3,Yes,13,Male,Nigeria,Lagos,"['Fine Arts', 'Mathematics Club', 'Music Club']",Scientist,2010-10-04,Islam,No,2022-09-01,2022
94,95,1,2,Yes,14,Female,Nigeria,Lagos,"['Red Cross', 'Press Club']",Entrepreneur,2012-10-04,Christian,Yes,2022-09-01,2022
95,96,1,2,Yes,14,Female,Nigeria,Bayelsa,['Debating Club'],Marketer,2010-10-04,Islam,Yes,2022-09-01,2022
96,97,1,3,Yes,13,Male,Nigeria,Kwara,"['JETS Club', 'Homemakers Club']",Doctor,2010-10-04,Christian,No,2022-09-01,2022
97,98,1,3,No,12,Male,Nigeria,Nasarawa,['Drama Club'],Engineer,2010-10-04,Islam,Yes,2022-09-01,2022
98,99,1,1,No,13,Female,Nigeria,Cross River,"['Chess Club', 'JETS Club', 'Drama Club']",Actor,2011-10-04,Islam,Yes,2022-09-01,2022
99,100,1,2,No,13,Male,Nigeria,Niger,"['Fine Arts', 'Red Cross']",Accountant,2012-10-04,Christian,No,2022-09-01,2022
100,101,1,2,Yes,13,Male,Nigeria,Lagos,['Debating Club'],Accountant,2010-10-04,Islam,Yes,2022-09-01,2022
101,102,1,3,Yes,13,Female,Nigeria,Ebonyi,"['Red Cross', 'Mathematics Club', 'Press Club']",Scientist,2011-10-04,Christian,No,2022-09-01,2022
102,103,1,4,Yes,14,Female,Nigeria,Sokoto,"['Press Club', 'Fine Arts', 'Chess Club']",Technologist,2012-10-04,Islam,No,2022-09-01,2022
103,104,1,4,No,13,Female,Nigeria,Lagos,"['Homemakers Club', 'Music Club']",Technologist,2011-10-04,Christian,No,2022-09-01,2022
104,105,1,3,Yes,13,Female,Nigeria,Benue,['JETS Club'],Pharmacist,2012-10-04,Christian,No,2022-09-01,2022
105,106,1,1,No,13,Female,Nigeria,Osun,"['Computer Club', 'Mathematics Club']",Journalist,2012-10-04,Islam,No,2022-09-01,2022
106,107,1,1,Yes,14,Female,Nigeria,Osun,"['JETS Club', 'Drama Club', 'Computer Club']",Artist,2012-10-04,Christian,No,2022-09-01,2022
107,108,1,2,No,14,Female,Nigeria,Edo,"['Computer Club', 'Homemakers Club', 'Fine Arts']",Business Executive,2012-10-04,Christian,Yes,2022-09-01,2022
108,109,1,1,Yes,14,Female,Nigeria,Oyo,['Fine Arts'],Fashion Designer,2011-10-04,Christian,No,2022-09-01,2022
109,110,1,4,No,13,Male,Nigeria,Niger,"['Computer Club', 'Mathematics Club']",Engineer,2010-10-04,Islam,Yes,2022-09-01,2022
110,111,1,1,Yes,14,Female,Nigeria,Kwara,"['Computer Club', 'JETS Club']",Artist,2012-10-04,Islam,No,2022-09-01,2022
111,112,1,3,No,14,Male,Nigeria,Kwara,"['Computer Club', 'Drama Club', 'Red Cross']",Doctor,2011-10-04,Christian,Yes,2022-09-01,2022
112,113,1,2,Yes,13,Male,Nigeria,Oyo,"['Fine Arts', 'Mathematics Club']",Marketer,2010-10-04,Islam,No,2022-09-01,2022
113,114,1,3,Yes,14,Male,Nigeria,Osun,['JETS Club'],Pharmacist,2012-10-04,Islam,No,2022-09-01,2022
114,115,1,4,Yes,13,Female,Nigeria,Lagos,['Press Club'],Engineer,2010-10-04,Islam,Yes,2022-09-01,2022
115,116,1,3,No,13,Female,Nigeria,Ogun,"['Fine Arts', 'Drama Club']",Biologist,2010-10-04,Islam,No,2022-09-01,2022
116,117,1,2,No,14,Male,Nigeria,Kaduna,['Chess Club'],Marketer,2012-10-04,Islam,No,2022-09-01,2022
117,118,1,4,Yes,12,Female,Nigeria,Lagos,"['Drama Club', 'Fine Arts', 'Press Club']",Engineer,2011-10-04,Christian,Yes,2022-09-01,2022
118,119,1,4,Yes,14,Male,Nigeria,Anambra,"['Music Club', 'Fine Arts']",Software Developer,2012-10-04,Islam,Yes,2022-09-01,2022
119,120,1,3,Yes,14,Female,Nigeria,Lagos,"['Press Club', 'Computer Club', 'Homemakers Club']",Scientist,2011-10-04,Islam,Yes,2022-09-01,2022
120,121,1,2,No,14,Female,Nigeria,Kano,"['Music Club', 'Press Club']",Economist,2011-10-04,Islam,Yes,2022-09-01,2022
121,122,1,2,Yes,14,Male,Nigeria,Jigawa,['Debating Club'],Economist,2012-10-04,Islam,No,2022-09-01,2022
122,123,1,1,No,13,Male,Nigeria,Benue,"['JETS Club', 'Debating Club', 'Chess Club']",Actor,2012-10-04,Islam,Yes,2022-09-01,2022
123,124,1,2,No,13,Female,Nigeria,Ebonyi,['Mathematics Club'],Economist,2012-10-04,Christian,No,2022-09-01,2022
124,125,1,4,No,13,Female,Nigeria,Oyo,"['Press Club', 'Chess Club', 'JETS Club']",Software Developer,2011-10-04,Islam,Yes,2022-09-01,2022
125,126,1,4,No,12,Male,Nigeria,Jigawa,"['Fine Arts', 'Music Club', 'JETS Club']",Technologist,2010-10-04,Christian,Yes,2022-09-01,2022
126,127,1,4,Yes,12,Male,Nigeria,Lagos,['Fine Arts'],Computer Scientist,2011-10-04,Islam,No,2022-09-01,2022
127,128,1,4,Yes,14,Male,Nigeria,Lagos,"['Debating Club', 'Computer Club', 'Mathematics Club']",Software Developer,2012-10-04,Christian,Yes,2022-09-01,2022
128,129,1,3,Yes,12,Female,Nigeria,Lagos,['Mathematics Club'],Engineer,2012-10-04,Islam,Yes,2022-09-01,2022
129,130,1,2,Yes,14,Female,Nigeria,Ondo,"['Chess Club', 'Press Club', 'Red Cross']",Entrepreneur,2010-10-04,Christian,No,2022-09-01,2022
130,131,1,1,No,12,Male,Nigeria,Lagos,"['Press Club', 'Red Cross', 'Computer Club']",Writer,2012-10-04,Islam,Yes,2022-09-01,2022
131,132,1,2,No,14,Female,Nigeria,Gombe,['Press Club'],Business Executive,2012-10-04,Christian,No,2022-09-01,2022
132,133,1,2,Yes,13,Male,Nigeria,Osun,['Drama Club'],Accountant,2011-10-04,Islam,No,2022-09-01,2022
133,134,1,3,No,13,Male,Nigeria,Kebbi,['Computer Club'],Pharmacist,2010-10-04,Christian,Yes,2022-09-01,2022
134,135,1,2,Yes,12,Female,Nigeria,Ekiti,"['Debating Club', 'Drama Club']",Economist,2011-10-04,Christian,No,2022-09-01,2022
135,136,1,3,No,14,Female,Nigeria,Ogun,['Press Club'],Scientist,2010-10-04,Christian,No,2022-09-01,2022
136,137,1,3,Yes,14,Male,Nigeria,Jigawa,"['Computer Club', 'JETS Club']",Doctor,2010-10-04,Christian,No,2022-09-01,2022
137,138,1,2,No,14,Male,Nigeria,Osun,"['Computer Club', 'JETS Club', 'Drama Club']",Marketer,2011-10-04,Islam,Yes,2022-09-01,2022
138,139,1,1,No,13,Female,Nigeria,Anambra,"['Chess Club', 'Homemakers Club', 'Red Cross']",Fashion Designer,2010-10-04,Christian,Yes,2022-09-01,2022
139,140,1,1,Yes,12,Male,Nigeria,Kano,"['Drama Club', 'Homemakers Club']",Artist,2011-10-04,Islam,No,2022-09-01,2022
140,141,1,1,Yes,13,Male,Nigeria,Osun,"['Computer Club', 'Mathematics Club', 'Homemakers Club']",Fashion Designer,2011-10-04,Christian,No,2022-09-01,2022
141,142,1,3,Yes,12,Female,Nigeria,Zamfara,"['Fine Arts', 'Drama Club', 'Mathematics Club']",Scientist,2012-10-04,Christian,No,2022-09-01,2022
142,143,1,3,No,14,Female,Nigeria,Enugu,"['Debating Club', 'JETS Club']",Scientist,2010-10-04,Islam,No,2022-09-01,2022
143,144,1,1,No,14,Female,Nigeria,Lagos,['Press Club'],Fashion Designer,2010-10-04,Islam,Yes,2022-09-01,2022
144,145,1,3,No,12,Female,Nigeria,Enugu,['Drama Club'],Doctor,2011-10-04,Islam,Yes,2022-09-01,2022
145,146,1,1,Yes,12,Male,Nigeria,Oyo,['Chess Club'],Journalist,2012-10-04,Islam,Yes,2022-09-01,2022
146,147,1,2,Yes,14,Male,Nigeria,Osun,"['JETS Club', 'Fine Arts']",Marketer,2011-10-04,Islam,Yes,2022-09-01,2022
147,148,1,1,No,14,Male,Nigeria,Delta,"['Fine Arts', 'Music Club', 'Mathematics Club']",Journalist,2010-10-04,Islam,Yes,2022-09-01,2022
148,149,1,4,Yes,14,Female,Nigeria,Imo,"['Mathematics Club', 'Computer Club']",Technologist,2010-10-04,Islam,No,2022-09-01,2022
149,150,1,2,Yes,12,Male,Nigeria,Osun,"['Music Club', 'Red Cross']",Marketer,2012-10-04,Islam,Yes,2022-09-01,2022
150,151,1,1,Yes,14,Male,Nigeria,Osun,"['Chess Club', 'Red Cross', 'Fine Arts']",Artist,2011-10-04,Christian,Yes,2022-09-01,2022
151,152,1,3,No,13,Male,Nigeria,Bayelsa,['Chess Club'],Biologist,2010-10-04,Christian,No,2022-09-01,2022
152,153,1,3,No,14,Male,Nigeria,Osun,['Mathematics Club'],Engineer,2011-10-04,Islam,No,2022-09-01,2022
153,154,1,1,Yes,12,Male,Nigeria,Osun,"['Press Club', 'Homemakers Club', 'Fine Arts']",Actor,2010-10-04,Islam,No,2022-09-01,2022
154,155,1,2,No,12,Female,Nigeria,Ogun,"['Debating Club', 'Computer Club', 'Chess Club']",Marketer,2012-10-04,Christian,No,2022-09-01,2022
155,156,1,4,No,13,Male,Nigeria,Oyo,"['Mathematics Club', 'JETS Club', 'Red Cross']",Computer Scientist,2011-10-04,Christian,Yes,2022-09-01,2022
156,157,1,3,No,13,Female,Nigeria,Kaduna,['JETS Club'],Scientist,2012-10-04,Islam,Yes,2022-09-01,2022
157,158,1,4,No,14,Female,Nigeria,Enugu,['Red Cross'],Computer Scientist,2012-10-04,Christian,No,2022-09-01,2022
158,159,1,2,No,13,Female,Nigeria,Bauchi,['JETS Club'],Entrepreneur,2012-10-04,Islam,No,2022-09-01,2022
159,160,1,2,Yes,12,Female,Nigeria,Bauchi,"['Chess Club', 'Drama Club', 'Fine Arts']",Economist,2011-10-04,Christian,Yes,2022-09-01,2022
160,161,1,3,Yes,14,Female,Nigeria,Oyo,['Homemakers Club'],Scientist,2010-10-04,Christian,No,2022-09-01,2022
161,162,1,2,No,12,Female,Nigeria,Oyo,"['JETS Club', 'Drama Club', 'Debating Club']",Marketer,2011-10-04,Christian,Yes,2022-09-01,2022
162,163,1,2,No,12,Female,Nigeria,Taraba,['Music Club'],Accountant,2011-10-04,Islam,No,2022-09-01,2022
163,164,1,3,Yes,14,Female,Nigeria,Osun,['JETS Club'],Pharmacist,2010-10-04,Islam,No,2022-09-01,2022
164,165,1,4,No,12,Female,Nigeria,Zamfara,"['Homemakers Club', 'Music Club']",Software Developer,2011-10-04,Christian,Yes,2022-09-01,2022
165,166,1,4,Yes,14,Female,Nigeria,Ogun,['Fine Arts'],Computer Scientist,2012-10-04,Islam,No,2022-09-01,2022
166,167,1,1,Yes,12,Male,Nigeria,Bayelsa,"['Chess Club', 'Mathematics Club']",Fashion Designer,2012-10-04,Islam,No,2022-09-01,2022
167,168,1,4,No,14,Female,Nigeria,Nasarawa,"['Mathematics Club', 'Drama Club', 'Red Cross']",Data Scientist,2010-10-04,Christian,No,2022-09-01,2022
168,169,1,3,Yes,12,Female,Nigeria,Lagos,['Mathematics Club'],Pharmacist,2010-10-04,Christian,No,2022-09-01,2022
169,170,1,2,Yes,13,Male,Nigeria,Anambra,"['Drama Club', 'Computer Club', 'Chess Club']",Business Executive,2012-10-04,Islam,No,2022-09-01,2022
170,171,1,2,Yes,14,Male,Nigeria,Osun,['JETS Club'],Entrepreneur,2011-10-04,Islam,Yes,2022-09-01,2022
171,172,1,3,Yes,14,Male,Nigeria,Plateau,"['Debating Club', 'Homemakers Club', 'Music Club']",Biologist,2012-10-04,Christian,No,2022-09-01,2022
172,173,1,2,No,14,Female,Nigeria,Benue,['Red Cross'],Economist,2010-10-04,Islam,Yes,2022-09-01,2022
173,174,1,3,No,13,Male,Nigeria,Ogun,"['Debating Club', 'JETS Club', 'Music Club']",Engineer,2011-10-04,Christian,No,2022-09-01,2022
174,175,1,4,No,13,Male,Nigeria,Adamawa,"['Debating Club', 'Red Cross']",Computer Scientist,2011-10-04,Islam,Yes,2022-09-01,2022
175,176,1,2,Yes,14,Female,Nigeria,Osun,"['Red Cross', 'Computer Club']",Entrepreneur,2011-10-04,Christian,No,2022-09-01,2022
176,177,1,1,No,13,Male,Nigeria,Zamfara,"['Red Cross', 'Computer Club', 'Chess Club']",Journalist,2011-10-04,Christian,No,2022-09-01,2022
177,178,1,2,No,13,Female,Nigeria,Edo,"['Debating Club', 'Red Cross', 'Homemakers Club']",Marketer,2010-10-04,Islam,No,2022-09-01,2022
178,179,1,4,Yes,14,Female,Nigeria,Oyo,"['Drama Club', 'JETS Club', 'Mathematics Club']",Engineer,2012-10-04,Islam,Yes,2022-09-01,2022
179,180,1,1,No,14,Male,Nigeria,Gombe,"['Debating Club', 'Drama Club']",Artist,2010-10-04,Christian,No,2022-09-01,2022
180,181,1,2,No,14,Male,Nigeria,Oyo,['Red Cross'],Economist,2011-10-04,Christian,Yes,2022-09-01,2022
181,182,1,2,Yes,13,Male,Nigeria,Lagos,"['Chess Club', 'Red Cross', 'Homemakers Club']",Marketer,2012-10-04,Islam,Yes,2022-09-01,2022
182,183,1,4,No,12,Male,Nigeria,Osun,"['Homemakers Club', 'JETS Club']",Engineer,2010-10-04,Christian,No,2022-09-01,2022
183,184,1,2,Yes,12,Female,Nigeria,Borno,['Press Club'],Marketer,2012-10-04,Christian,Yes,2022-09-01,2022
